Công ty,Mã số thuế,Địa chỉ,Người đại diện
TRUNG TÂM DỊCH VỤ SỰ NGHIỆP CÔNG XÃ MƯỜNG ĐỘNG,5400563768,xóm Bãi Chạo - Xã Mường Động - Phú Thọ,
TRUNG TÂM CUNG ỨNG DỊCH VỤ SỰ NGHIỆP CÔNG CƠ BẢN XÃ GIANG THÀNH,1702328604,Ấp Tân Khánh - Xã Giang Thành - An Giang,
VĂN PHÒNG HỘI ĐỒNG NHÂN DÂN VÀ ỦY BAN NHÂN DÂN XÃ VĂN MIẾU,2601130582,Dẹ 1 - Xã Văn Miếu - Phú Thọ,
PHÒNG KINH TẾ, HẠ TẦNG VÀ ĐÔ THỊ PHƯỜNG THỚI AN,0319041240,340 Lê Văn Khương - Phường Thới An - TP Hồ Chí Minh,
ỦY BAN NHÂN DÂN XÃ TÂY SƠN,4101660151,59 - 61 - 63 Phan Đình Phùng - Xã Tây Sơn - Gia Lai,
PHÒNG VĂN HÓA - XÃ HỘI PHƯỜNG LONG BÌNH,6300384252,KV Bình Thạnh B - Phường Long Bình - TP Cần Thơ,
PHÒNG VĂN HOÁ - XÃ HỘI XÃ LẠC ĐẠO,0901200170,Thôn Cầu - Xã Như Quỳnh - Hưng Yên,
PHÒNG VĂN HOÁ - XÃ HỘI XÃ LẠC ĐẠO,0901199373,Thôn Cầu - Xã Lạc Đạo - Hưng Yên,
VĂN PHÒNG ĐẢNG ỦY XÃ AN TRẠCH,1900701634,Ấp Thành Thưởng - Xã An Trạch - Cà Mau,
UỶ BAN MẶT TRẬN TỔ QUỐC VIỆT NAM PHƯỜNG NAM HỒNG LĨNH,3002296051,Tổ Thuận Sơn - Phường Nam Hồng Lĩnh - Hà Tĩnh,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CÔNG ÍCH VĂN TRUNG – CHI NHÁNH CÁCH MẠNG THÁNG TÁM,0310347435-036,299 Cách Mạng Tháng Tám - Phường Hòa Hưng - TP Hồ Chí Minh,
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ TÂN TIẾN ĐẠT,1402215166,Số 35-37-39 Nguyễn Huệ - Phường Cao Lãnh - Đồng Tháp,
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ 11 SPORT TẠI LÊ DUẪN,0402303685-001,32 Lê Duẫn - Phường Hải Châu - TP Đà Nẵng,
PHÒNG VĂN HOÁ- XÃ HỘI PHƯỜNG LÊ ĐẠI HÀNH,0801459677,Km79+700 - QL 37 - KDC Tư Giang - Phường Lê Đại Hành - TP Hải Phòng,
TỔNG CÔNG TY XÂY DỰNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN THANH HÓA - CÔNG TY CỔ PHẦN – CHI NHÁNH TÂY BẮC,2800110252-018,Số nhà 16 - Tổ dân phố 5 - Phường Mường Thanh - Điện Biên,
TRƯỜNG TIỂU HỌC C BÌNH PHÚ,1602209191,Ấp Bình Thới - Xã Châu Phú - An Giang,
UBND PHƯỜNG PHÚ THỌ - UNT PNN,3703103597,Số 1 - Đường Lê Hồng Phong -  - TP Hồ Chí Minh,
CÔNG AN XÃ NHÀ BÈ,0319031644,1414 Lê Văn Lương - Ấp 55 - Xã Nhà Bè - TP Hồ Chí Minh,
TRUNG TÂM PHỤC VỤ HÀNH CHÍNH CÔNG XÃ THÀNH CÔNG,4601647776,Xóm Xuân Hà 3 - Xã Thành Công - Thái Nguyên,
ỦY BAN MẶT TRẬN TỔ QUỐC XÃ TÂN HƯNG,3801325855,Ấp 5 - Xã Tân Hưng - Đồng Nai,
TRƯỜNG TRUNG HỌC CƠ SỞ HIỂU TRUNG,2100707244,ấp Tân Trung Giồng A - Xã Tiểu Cần - Vĩnh Long,
CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT SYNKA,0319233873,109/7/13 Đường TX22 - Khu phố 44 - Phường Thới An - TP Hồ Chí Minh,
CÔNG ĐOÀN XÃ MỸ ĐỨC,0111260596,Số 6 Đại Đồng - Xã Mỹ Đức - TP Hà Nội,
CHI NHÁNH MIỀN NAM CÔNG TY CỔ PHẦN TẬP ĐOÀN VIỆT RICH GROUP,0109822505-002,43/4 Thành Thái - Phường Diên Hồng - Thành phố Hồ Chí Minh - Việt Nam,PHẠM ANH TUẤN
CÔNG TY TNHH TRẦN LÂM CONSTRUCTION,0319233288,84/4 Đường Thạnh Xuân 13 - Phường Thới An - TP Hồ Chí Minh,
TRUNG TÂM HỖ TRỢ PHÁT TRIỂN GIÁO DỤC HÒA NHẬP TỈNH LẠNG SƠN,4900934592,Khối Yên Thủy I - Phường Đông Kinh - Lạng Sơn,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG PHÚC GIA BẢO,0319233369,753 Nguyễn Ảnh Thủ - Khu Phố 20 - Phường Tân Thới Hiệp - TP Hồ Chí Minh,
